product_name,alcohol_percentage
free-feather-rose-alcoholvrij,0.5
martini-floreale-non-alcoholic,0.5
free-time-chardonnay-alcoholvrij,0.5
martini-vibrante-non-alcoholic,0.5
fontanafredda-moscato-d-asti,5.0
alasia-moscato-d-asti,5.0
aviva-sparkling-gold,5.5
galilei-bellini-frizzante-peach,5.9
galilei-frizzante-mango,5.9
gracioso-secco-hugo-rose,6.9
faszination-hugo-rose,6.9
gracioso-secco-hugo,6.9
galilei-watermelon,6.9
faszination-hugo,6.9
galilei-hugo,6.9
galilei-hugo-rose,6.9
le-monferrine-asti,7.0
lindeman-s-bin-25-brut-cuvee,7.0
lindeman-s-bin-90-moscato,7.0
freixenet-mia-sangria-white-frizzante,7.5
chiarli-1860-lambrusco-rosso,7.5
martini-bellini,8.0
four-cousins-skinny-sweet-rose,8.0
martini-mimosa,8.0
martini-limoni,8.0
moselland-beste-lese,8.5
four-cousins-skinny-red,8.5
canei-bianco,8.5
verano-moscatel-blanco-verano,8.5
four-cousins-skinny-white,8.5
j-m-da-fonseca-j-m-fonseca-vinho-verde,8.5
ah-gluhwein,8.5
moselland-piesporter-michelsberg,8.5
freixenet-sangria-red,8.5
stormhoek-moscato,8.5
ah-moscato,9.0
felix-solis-gluhwein,10.0
lancers-rose-table-wine,10.0
villa-rosa-prosecco,10.5
solatio-frizzante-bianco,10.5
casal-mendes-rose,10.5
gio-prosecco,10.5
solatio-vino-frizzante-prosecco-doc,10.5
echo-falls-white-zinfandel,10.5
sarmentino-zinfandel-rose,11.0
ah-excellent-selectie-prosecco,11.0
masottina-prosecco,11.0
calvet-ice-chardonnay,11.0
spaanse-wijn-vino-tinto-dulce,11.0
colle-del-principe-prosecco,11.0
d-vine-dornfelder,11.0
terra-viva-prosecco-doc,11.0
solatio-prosecco-spumante-extra-dry,11.0
schloss-trier-trocken,11.0
solatio-prosecco-rose-doc,11.0
sarmentino-frizzante,11.0
zonin-prosecco-doc-cuvee-1821,11.0
jacob-s-creek-pinot-grigio,11.2
jacob-s-creek-chardonnay-pinot-noir-brut-cuvee,11.3
pere-ventura-coleccion-privada-cava-gran-reserva,11.5
los-molinos-rosado,11.5
mas-paillet-emotion-orange,11.5
pere-ventura-colleccion-privada-cava-reserva-brut,11.5
codorniu-clasico-semi-seco-cava,11.5
hola-barcelona-organic-brut-cava,11.5
divino-nordheim-silvaner-trocken,11.5
codorniu-cuvee-barcelona,11.5
ca-marina-prosecco,11.5
remy-pannier-rose-cuvee-speciale,11.5
hola-barcelona-organic-rose-cava,11.5
krone-borealis-vintage-cuvee-brut,11.5
pere-ventura-colleccion-privada-cava-res-brut-rose,11.5
codorniu-seleccion-raventos-brut,11.5
codorniu-clasico-cava-brut,11.5
lindeman-s-organics-sauvignon-blanc-2021,11.5
marques-de-requena-brut,11.5
frontera-sauvignon-blanc-pedro-ximenez,11.8
grans-fassian-riesling-trocken,12.0
moet-en-chandon-champagne-brut-imperial,12.0
cadis-valpolicella,12.0
tardia-sweet-rose-sparkling,12.0
cave-de-beblenheim-aoc-alsace-riesling,12.0
divino-grauburgunder,12.0
african-horizon-chardonnay,12.0
ah-biologisch-tempranillo,12.0
los-molinos-blanco,12.0
divino-weissburgunder,12.0
cuvee-benedikt-cotes-du-rhone,12.0
wijntje-rose,12.0
piper-heidsieck-brut-champagne,12.0
lyv-rose,12.0
sella-en-mosca-vermentino,12.0
lindeman-s-bin-30-sparkling-rose,12.0
trivento-pinot-grigio,12.0
krone-mcc-vintage-rose-cuvee-brut,12.0
pannier-champagne-brut,12.0
le-bijou-ma-cherie-sparkling-rose,12.0
adobe-reserva-rose,12.0
cadis-chardonnay,12.0
canaletto-bianco,12.0
wijntje-bubbels,12.0
tardia-sweet-rose-wine,12.0
codorniu-codurniu-cava-rose-brut,12.0
ruinart-champagne-brut,12.0
moselland-riesling-classic,12.0
frontera-cabaernet-sauvignon-syrah,12.0
villa-antinori-bianco-toscana,12.0
veuve-amiot-brut,12.0
moet-en-chandon-champagne-nectar-imperial,12.0
cadis-bardolino,12.0
piper-heidsieck-champagne-cuvee-sublime,12.0
louis-roederer-champagne-brut-premier,12.0
arthur-metz-cremant-d-alsace,12.0
gio-pinot-grigio,12.0
puklavec-en-friends-sauvignon-blanc-en-furmint,12.0
veuve-amiot-demi-sec,12.0
j-b-adam-aoc-cremant-d-alsace-brut,12.0
moet-en-chandon-rose-giftpack,12.0
ah-excellent-riesling,12.0
diane-de-frion-champagne,12.0
ah-excellent-champagne-brut-rose,12.0
antonin-rodet-crmant-de-bourgogne-brut,12.0
canaletto-rosato,12.0
antinori-santa-cristina-vermentino,12.0
veuve-clicquot-brut,12.0
charles-de-fere-cremant-de-bourgogne,12.0
moet-en-chandon-champagne-nectar-imperial-rose,12.0
cono-sur-bicicleta-rose,12.0
antinori-santa-cristina-pinot-grigio,12.0
cantina-di-soave-soave,12.0
claire-patelin-rose,12.0
moet-en-chandon-ice-imperial,12.0
19-crimes-sparkling-white,12.0
pannier-champagne-demi-sec,12.0
tardia-sweet-white-wine,12.0
wijntje-tempranillo,12.0
domaine-madeleine-touraine-sauvignon,12.0
ah-excellent-champagne-premier-cru-brut,12.0
mesta-organic-verdejo,12.0
19-crimes-sauvignon-blanc,12.0
slurp-rose,12.0
wijntje-verdejo,12.0
lindeman-s-bin-95-sauvignon-blanc,12.0
settesoli-pinot-grigio-rose-blush,12.0
veltliner,12.0
lenz-moser-gruner-veltliner,12.0
ah-excellent-pinot-grigio,12.0
lindeman-s-south-africa-chardonnay-viognier,12.0
cave-de-beblenheim-pinot-blanc,12.0
sarmentino-sauvignon-blanc,12.0
castano-macabeo-organic,12.0
wild-pig-sauvignon-blanc,12.0
terra-viva-pinot-grigio,12.0
sarmentino-pinot-grigio,12.0
winemaker-s-lot-sauvignon-blanc,12.0
puklavec-en-friends-sauvignon-blanc-pinot-grigio,12.0
